sampleid	Brouns_C.20151106	CazaresVinuesa_PARAISO_C	CazaresVinuesa_TEMIXCO_C	Cho_C.20160208	Cinek_bin08_primerC.20151120	Cinek_bin11_primerC.20151120	Cinek_bin12_primerC.20151120	Cinek_bin13_primerC.20151120	Cinek_bin14_primerC.20151120	Cinek_bin15_primerC.20151120	Cinek_bin16_primerC.20151120	Cinek_bin55_primerC.20151120	Cinek_bin56_primerC.20151120	Cinek_bin79_primerC.20151120	Decewicz_Dziewit_Lodz_Cseq1.20160126	Decewicz_Dziewit_Lodz_Cseq1.20160303	Decewicz_Dziewit_Lodz_Cseq2.20160126	Decewicz_Dziewit_Lodz_Cseq2.20160303	Decewicz_Dziewit_Lodz_Cseq3.20160303	Decewicz_Dziewit_Lodz_Cseq4.20160303	Decewicz_Dziewit_Lodz_Cseq5.20160303	Decewicz_Dziewit_Oswiecim_Cseq1.20160126	Decewicz_Dziewit_Oswiecim_Cseq1.20160303	Decewicz_Dziewit_Oswiecim_Cseq2.20160303	Decewicz_Dziewit_Oswiecim_Cseq3.20160303	Decewicz_Dziewit_Oswiecim_Cseq4.20160303	Decewicz_Dziewit_Oswiecim_Cseq5.20160303	Decewicz_Dziewit_Warsaw_Cseq1.20160126	Decewicz_Dziewit_Warsaw_Cseq1.20160303	Decewicz_Dziewit_Warsaw_Cseq2.20160303	Decewicz_Dziewit_Warsaw_Cseq3.20160303	Decewicz_Dziewit_Warsaw_Cseq4.20160303	Decewicz_Dziewit_Warsaw_Cseq5.20160303	Decewicz_Dziewit_Wyszkow_Cseq1.20160126	Decewicz_Dziewit_Wyszkow_Cseq1.20160303	Decewicz_Dziewit_Wyszkow_Cseq2.20160126	Decewicz_Dziewit_Wyszkow_Cseq2.20160303	Decewicz_Dziewit_Wyszkow_Cseq3.20160303	Decewicz_Dziewit_Wyszkow_Cseq4.20160303	Decewicz_Dziewit_Wyszkow_Cseq5.20160303	Desnues_stool3_primerC.20151217	DiazMunoz_Davis1_C	DiazMunoz_Davis3_C	DiazMunoz_NYC_C	Edwards_C.20151012.S1	Edwards_C.20151012.S2	Edwards_C.20151012.S3	Edwards_C.20151012.S4	Edwards_C.20151209.S1	Edwards_C.20151209.S2	Edwards_C.20151209.S3	Edwards_C.20151209.S4	Fineran_Dunedin_C	Fineran_Greymouth_C	Lavigne.PrimerC.20160126	Mazankova_primerC_1.20151201	Mazankova_primerC_17.20151201	Mazankova_primerC_18.20151201	Mazankova_primerC_19.20151201	Mazankova_primerC_2.20151201	Mazankova_primerC_20.20151201	Mazankova_primerC_22.20151201	Mazankova_primerC_23.20151201	Mazankova_primerC_4.20151201	Mazankova_primerC_5.20151201	Mazankova_primerC_6.20151201	Mazankova_primerC_7.20151201	Mazankova_primerC_9.20151201	Muniesa_1.1_Gav_primerC.201510	Muniesa_E13_Gav_primerC.201405	Muniesa_E14_ElPratdeLlobregat_primerC.201401	Muniesa_E1_Gav_primerC.201510	Muniesa_E23_Gav_primerC.201406	Muniesa_E2_Gav_primerC.201510	Muniesa_E32_Girona_primerC.201505	Muniesa_E4_Gav_primerC.201311	Muniesa_E7_Gav_primerC.201401	Muniesa_E8_ElPratdeLlobregat_primerC.201401	Nigro_C.20161212.SandIsland	Nigro_C.20161212.Waianae	Qimron_Jericho_C_20151202	Qimron_Qalqilyah_C_20151202	Qimron_Ramallah_C_20151202	Qimron_Salfit_C_20151202	Quan_C.20160320.S1	Quan_C.20160320.S10	Quan_C.20160320.S11	Quan_C.20160320.S12	Quan_C.20160320.S13	Quan_C.20160320.S14	Quan_C.20160320.S15	Quan_C.20160320.S16	Quan_C.20160320.S17	Quan_C.20160320.S18	Quan_C.20160320.S19	Quan_C.20160320.S2	Quan_C.20160320.S3	Quan_C.20160320.S4	Quan_C.20160320.S5	Quan_C.20160320.S6	Quan_C.20160320.S7	Quan_C.20160320.S8	Quan_C.20160320.S9	Santos_C25.20160225	Santos_C27.20160225	Santos_C30.20160225	Santos_C32.20160225	Santos_C33.20160225	Santos_C35.20160225	Strain_primerC.20151215	Tyakht_Nov_282_C	Tyakht_Nov_287_C	Tyakht_OM_178_C	Tyakht_SAR_275_C	Tyakht_Spb_105_45P_C	Tyakht_Spb_73_13P_C	Tyakht_Spb_74_14P_C	Wagemans_C.20160412	Zambrano_C.20160412.s1	Zambrano_C.20160412.s2	crAssphage_C
Decewicz_Dziewit_Warsaw_Cseq1.20160303	1020.20381589	10234.2463775	10232.2497035	958.098793509	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	130.254035935	130.254035935	130.254035935	130.254035935	130.254035935	130.254035935	130.254035935	281.466324316	281.466324316	281.466324316	281.466324316	281.466324316	281.466324316	0.0	0	0.0	0.0	0.0	0.0	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	1532.56468068	9279.59857308	9279.59857308	6846.31851588	9680.54519103	9695.68712336	9687.37344028	9679.07696565	9680.54519103	9695.68712336	9687.37344028	9679.07696565	17710.3519106	17545.3157218	1134.55752283	603.608622583	514.336448228	336.610063378	477.918181545	477.664200352	413.015142446	471.094907429	525.809331307	591.335504861	336.610063378	603.608622583	413.015142446	519.625440417	1885.81363502	1885.81363502	1878.77094017	1885.81363502	1885.81363502	1885.81363502	1867.95354832	1885.81363502	1885.81363502	1878.77094017	11827.5099185	11812.4026836	2563.93116138	2512.54524468	2549.27721454	2530.44933677	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	2763.44352384	2763.44352384	2763.44352384	2763.44352384	2763.44352384	2763.44352384	1998.33241131	3935.9526547	3935.9526547	3346.32982664	1716.26048925	985.138396923	985.138396923	985.138396923	1136.63013857	9941.0003064	9941.0003064	6142.29771322
Decewicz_Dziewit_Warsaw_Cseq2.20160303	1020.20381589	10234.2463775	10232.2497035	958.098793509	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	130.254035935	130.254035935	130.254035935	130.254035935	130.254035935	130.254035935	130.254035935	281.466324316	281.466324316	281.466324316	281.466324316	281.466324316	281.466324316	0.0	0.0	0	0.0	0.0	0.0	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	1532.56468068	9279.59857308	9279.59857308	6846.31851588	9680.54519103	9695.68712336	9687.37344028	9679.07696565	9680.54519103	9695.68712336	9687.37344028	9679.07696565	17710.3519106	17545.3157218	1134.55752283	603.608622583	514.336448228	336.610063378	477.918181545	477.664200352	413.015142446	471.094907429	525.809331307	591.335504861	336.610063378	603.608622583	413.015142446	519.625440417	1885.81363502	1885.81363502	1878.77094017	1885.81363502	1885.81363502	1885.81363502	1867.95354832	1885.81363502	1885.81363502	1878.77094017	11827.5099185	11812.4026836	2563.93116138	2512.54524468	2549.27721454	2530.44933677	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	2763.44352384	2763.44352384	2763.44352384	2763.44352384	2763.44352384	2763.44352384	1998.33241131	3935.9526547	3935.9526547	3346.32982664	1716.26048925	985.138396923	985.138396923	985.138396923	1136.63013857	9941.0003064	9941.0003064	6142.29771322
Decewicz_Dziewit_Warsaw_Cseq3.20160303	1020.20381589	10234.2463775	10232.2497035	958.098793509	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	130.254035935	130.254035935	130.254035935	130.254035935	130.254035935	130.254035935	130.254035935	281.466324316	281.466324316	281.466324316	281.466324316	281.466324316	281.466324316	0.0	0.0	0.0	0	0.0	0.0	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	1532.56468068	9279.59857308	9279.59857308	6846.31851588	9680.54519103	9695.68712336	9687.37344028	9679.07696565	9680.54519103	9695.68712336	9687.37344028	9679.07696565	17710.3519106	17545.3157218	1134.55752283	603.608622583	514.336448228	336.610063378	477.918181545	477.664200352	413.015142446	471.094907429	525.809331307	591.335504861	336.610063378	603.608622583	413.015142446	519.625440417	1885.81363502	1885.81363502	1878.77094017	1885.81363502	1885.81363502	1885.81363502	1867.95354832	1885.81363502	1885.81363502	1878.77094017	11827.5099185	11812.4026836	2563.93116138	2512.54524468	2549.27721454	2530.44933677	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	2763.44352384	2763.44352384	2763.44352384	2763.44352384	2763.44352384	2763.44352384	1998.33241131	3935.9526547	3935.9526547	3346.32982664	1716.26048925	985.138396923	985.138396923	985.138396923	1136.63013857	9941.0003064	9941.0003064	6142.29771322
Decewicz_Dziewit_Warsaw_Cseq4.20160303	1020.20381589	10234.2463775	10232.2497035	958.098793509	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	130.254035935	130.254035935	130.254035935	130.254035935	130.254035935	130.254035935	130.254035935	281.466324316	281.466324316	281.466324316	281.466324316	281.466324316	281.466324316	0.0	0.0	0.0	0.0	0	0.0	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	1532.56468068	9279.59857308	9279.59857308	6846.31851588	9680.54519103	9695.68712336	9687.37344028	9679.07696565	9680.54519103	9695.68712336	9687.37344028	9679.07696565	17710.3519106	17545.3157218	1134.55752283	603.608622583	514.336448228	336.610063378	477.918181545	477.664200352	413.015142446	471.094907429	525.809331307	591.335504861	336.610063378	603.608622583	413.015142446	519.625440417	1885.81363502	1885.81363502	1878.77094017	1885.81363502	1885.81363502	1885.81363502	1867.95354832	1885.81363502	1885.81363502	1878.77094017	11827.5099185	11812.4026836	2563.93116138	2512.54524468	2549.27721454	2530.44933677	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	2763.44352384	2763.44352384	2763.44352384	2763.44352384	2763.44352384	2763.44352384	1998.33241131	3935.9526547	3935.9526547	3346.32982664	1716.26048925	985.138396923	985.138396923	985.138396923	1136.63013857	9941.0003064	9941.0003064	6142.29771322
Decewicz_Dziewit_Warsaw_Cseq5.20160303	1020.20381589	10234.2463775	10232.2497035	958.098793509	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	1032.55552513	130.254035935	130.254035935	130.254035935	130.254035935	130.254035935	130.254035935	130.254035935	281.466324316	281.466324316	281.466324316	281.466324316	281.466324316	281.466324316	0.0	0.0	0.0	0.0	0.0	0	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	1532.56468068	9279.59857308	9279.59857308	6846.31851588	9680.54519103	9695.68712336	9687.37344028	9679.07696565	9680.54519103	9695.68712336	9687.37344028	9679.07696565	17710.3519106	17545.3157218	1134.55752283	603.608622583	514.336448228	336.610063378	477.918181545	477.664200352	413.015142446	471.094907429	525.809331307	591.335504861	336.610063378	603.608622583	413.015142446	519.625440417	1885.81363502	1885.81363502	1878.77094017	1885.81363502	1885.81363502	1885.81363502	1867.95354832	1885.81363502	1885.81363502	1878.77094017	11827.5099185	11812.4026836	2563.93116138	2512.54524468	2549.27721454	2530.44933677	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	7962.92424824	2763.44352384	2763.44352384	2763.44352384	2763.44352384	2763.44352384	2763.44352384	1998.33241131	3935.9526547	3935.9526547	3346.32982664	1716.26048925	985.138396923	985.138396923	985.138396923	1136.63013857	9941.0003064	9941.0003064	6142.29771322
Decewicz_Dziewit_Wyszkow_Cseq1.20160126	1050.05063527	10245.7036138	10243.6972153	996.16868577	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	318.212006067	318.212006067	318.212006067	318.212006067	318.212006067	318.212006067	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	0	0.0	0.0	0.0	0.0	0.0	0.0	1573.08920119	9272.54278129	9272.54278129	6860.68706954	9677.38826379	9692.46927409	9684.10109787	9675.87383935	9677.38826379	9692.46927409	9684.10109787	9675.87383935	17676.0885944	17508.2357587	1167.15314224	643.251608042	552.698439178	375.691655484	518.239442119	517.983494086	453.547450528	511.208905339	565.532751088	631.922269322	375.691655484	643.251608042	453.547450528	559.390764568	1926.23782136	1926.23782136	1919.20421493	1926.23782136	1926.23782136	1926.23782136	1908.38665031	1926.23782136	1926.23782136	1919.20421493	11802.8066243	11787.5297854	2568.24963482	2517.31907574	2553.92938788	2534.9919756	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2025.27033494	3895.86481349	3895.86481349	3306.92171739	1682.11696302	946.992811323	946.992811323	946.992811323	1169.39708498	9969.5283389	9969.5283389	6178.92379219
Decewicz_Dziewit_Wyszkow_Cseq1.20160303	1050.05063527	10245.7036138	10243.6972153	996.16868577	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	318.212006067	318.212006067	318.212006067	318.212006067	318.212006067	318.212006067	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	0.0	0	0.0	0.0	0.0	0.0	0.0	1573.08920119	9272.54278129	9272.54278129	6860.68706954	9677.38826379	9692.46927409	9684.10109787	9675.87383935	9677.38826379	9692.46927409	9684.10109787	9675.87383935	17676.0885944	17508.2357587	1167.15314224	643.251608042	552.698439178	375.691655484	518.239442119	517.983494086	453.547450528	511.208905339	565.532751088	631.922269322	375.691655484	643.251608042	453.547450528	559.390764568	1926.23782136	1926.23782136	1919.20421493	1926.23782136	1926.23782136	1926.23782136	1908.38665031	1926.23782136	1926.23782136	1919.20421493	11802.8066243	11787.5297854	2568.24963482	2517.31907574	2553.92938788	2534.9919756	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2025.27033494	3895.86481349	3895.86481349	3306.92171739	1682.11696302	946.992811323	946.992811323	946.992811323	1169.39708498	9969.5283389	9969.5283389	6178.92379219
Decewicz_Dziewit_Wyszkow_Cseq2.20160126	1050.05063527	10245.7036138	10243.6972153	996.16868577	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	318.212006067	318.212006067	318.212006067	318.212006067	318.212006067	318.212006067	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	0.0	0.0	0	0.0	0.0	0.0	0.0	1573.08920119	9272.54278129	9272.54278129	6860.68706954	9677.38826379	9692.46927409	9684.10109787	9675.87383935	9677.38826379	9692.46927409	9684.10109787	9675.87383935	17676.0885944	17508.2357587	1167.15314224	643.251608042	552.698439178	375.691655484	518.239442119	517.983494086	453.547450528	511.208905339	565.532751088	631.922269322	375.691655484	643.251608042	453.547450528	559.390764568	1926.23782136	1926.23782136	1919.20421493	1926.23782136	1926.23782136	1926.23782136	1908.38665031	1926.23782136	1926.23782136	1919.20421493	11802.8066243	11787.5297854	2568.24963482	2517.31907574	2553.92938788	2534.9919756	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2025.27033494	3895.86481349	3895.86481349	3306.92171739	1682.11696302	946.992811323	946.992811323	946.992811323	1169.39708498	9969.5283389	9969.5283389	6178.92379219
Decewicz_Dziewit_Wyszkow_Cseq2.20160303	1050.05063527	10245.7036138	10243.6972153	996.16868577	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	318.212006067	318.212006067	318.212006067	318.212006067	318.212006067	318.212006067	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	0.0	0.0	0.0	0	0.0	0.0	0.0	1573.08920119	9272.54278129	9272.54278129	6860.68706954	9677.38826379	9692.46927409	9684.10109787	9675.87383935	9677.38826379	9692.46927409	9684.10109787	9675.87383935	17676.0885944	17508.2357587	1167.15314224	643.251608042	552.698439178	375.691655484	518.239442119	517.983494086	453.547450528	511.208905339	565.532751088	631.922269322	375.691655484	643.251608042	453.547450528	559.390764568	1926.23782136	1926.23782136	1919.20421493	1926.23782136	1926.23782136	1926.23782136	1908.38665031	1926.23782136	1926.23782136	1919.20421493	11802.8066243	11787.5297854	2568.24963482	2517.31907574	2553.92938788	2534.9919756	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2025.27033494	3895.86481349	3895.86481349	3306.92171739	1682.11696302	946.992811323	946.992811323	946.992811323	1169.39708498	9969.5283389	9969.5283389	6178.92379219
Decewicz_Dziewit_Wyszkow_Cseq3.20160303	1050.05063527	10245.7036138	10243.6972153	996.16868577	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	318.212006067	318.212006067	318.212006067	318.212006067	318.212006067	318.212006067	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	0.0	0.0	0.0	0.0	0	0.0	0.0	1573.08920119	9272.54278129	9272.54278129	6860.68706954	9677.38826379	9692.46927409	9684.10109787	9675.87383935	9677.38826379	9692.46927409	9684.10109787	9675.87383935	17676.0885944	17508.2357587	1167.15314224	643.251608042	552.698439178	375.691655484	518.239442119	517.983494086	453.547450528	511.208905339	565.532751088	631.922269322	375.691655484	643.251608042	453.547450528	559.390764568	1926.23782136	1926.23782136	1919.20421493	1926.23782136	1926.23782136	1926.23782136	1908.38665031	1926.23782136	1926.23782136	1919.20421493	11802.8066243	11787.5297854	2568.24963482	2517.31907574	2553.92938788	2534.9919756	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2025.27033494	3895.86481349	3895.86481349	3306.92171739	1682.11696302	946.992811323	946.992811323	946.992811323	1169.39708498	9969.5283389	9969.5283389	6178.92379219
Decewicz_Dziewit_Wyszkow_Cseq4.20160303	1050.05063527	10245.7036138	10243.6972153	996.16868577	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	318.212006067	318.212006067	318.212006067	318.212006067	318.212006067	318.212006067	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	0.0	0.0	0.0	0.0	0.0	0	0.0	1573.08920119	9272.54278129	9272.54278129	6860.68706954	9677.38826379	9692.46927409	9684.10109787	9675.87383935	9677.38826379	9692.46927409	9684.10109787	9675.87383935	17676.0885944	17508.2357587	1167.15314224	643.251608042	552.698439178	375.691655484	518.239442119	517.983494086	453.547450528	511.208905339	565.532751088	631.922269322	375.691655484	643.251608042	453.547450528	559.390764568	1926.23782136	1926.23782136	1919.20421493	1926.23782136	1926.23782136	1926.23782136	1908.38665031	1926.23782136	1926.23782136	1919.20421493	11802.8066243	11787.5297854	2568.24963482	2517.31907574	2553.92938788	2534.9919756	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2025.27033494	3895.86481349	3895.86481349	3306.92171739	1682.11696302	946.992811323	946.992811323	946.992811323	1169.39708498	9969.5283389	9969.5283389	6178.92379219
Decewicz_Dziewit_Wyszkow_Cseq5.20160303	1050.05063527	10245.7036138	10243.6972153	996.16868577	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	1003.22422328	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	170.624611166	318.212006067	318.212006067	318.212006067	318.212006067	318.212006067	318.212006067	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	40.6034456707	0.0	0.0	0.0	0.0	0.0	0.0	0	1573.08920119	9272.54278129	9272.54278129	6860.68706954	9677.38826379	9692.46927409	9684.10109787	9675.87383935	9677.38826379	9692.46927409	9684.10109787	9675.87383935	17676.0885944	17508.2357587	1167.15314224	643.251608042	552.698439178	375.691655484	518.239442119	517.983494086	453.547450528	511.208905339	565.532751088	631.922269322	375.691655484	643.251608042	453.547450528	559.390764568	1926.23782136	1926.23782136	1919.20421493	1926.23782136	1926.23782136	1926.23782136	1908.38665031	1926.23782136	1926.23782136	1919.20421493	11802.8066243	11787.5297854	2568.24963482	2517.31907574	2553.92938788	2534.9919756	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	7923.04870191	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2802.2212285	2025.27033494	3895.86481349	3895.86481349	3306.92171739	1682.11696302	946.992811323	946.992811323	946.992811323	1169.39708498	9969.5283389	9969.5283389	6178.92379219
Desnues_stool3_primerC.20151217	989.877915466	9708.46311325	9706.87478048	677.458793884	2361.97720696	2361.97720696	2361.97720696	2361.97720696	2361.97720696	2361.97720696	2361.97720696	2361.97720696	2361.97720696	2361.97720696	1402.56237273	1402.56237273	1402.56237273	1402.56237273	1402.56237273	1402.56237273	1402.56237273	1297.78035269	1297.78035269	1297.78035269	1297.78035269	1297.78035269	1297.78035269	1532.56468068	1532.56468068	1532.56468068	1532.56468068	1532.56468068	1532.56468068	1573.08920119	1573.08920119	1573.08920119	1573.08920119	1573.08920119	1573.08920119	1573.08920119	0	9469.85783771	9469.85783771	6309.35987141	9712.55713491	9729.53463862	9723.50965934	9712.86403024	9712.55713491	9729.53463862	9723.50965934	9712.86403024	18806.7453219	18854.6293331	855.200421932	941.792968777	1048.44950026	1222.25914538	1066.48963954	1066.78894509	1119.54989433	1078.39599816	1016.03116932	941.766338389	1222.25914538	941.792968777	1119.54989433	1021.45409563	357.268311304	357.268311304	349.692691323	357.268311304	357.268311304	357.268311304	338.979266164	357.268311304	357.268311304	349.692691323	12635.570797	12627.7843216	2917.48341483	2859.40392798	2894.08676488	2882.0184681	9483.98482921	9483.98482921	9483.98482921	9483.98482921	9483.98482921	9483.98482921	9483.98482921	9483.98482921	9483.98482921	9483.98482921	9483.98482921	9483.98482921	9483.98482921	9483.98482921	9483.98482921	9483.98482921	9483.98482921	9483.98482921	9483.98482921	1322.64397022	1322.64397022	1322.64397022	1322.64397022	1322.64397022	1322.64397022	1410.7831327	5463.20476762	5463.20476762	4861.37351314	3145.04668935	2467.91882412	2467.91882412	2467.91882412	846.7946397	8803.40464764	8803.40464764	4844.96251346
DiazMunoz_Davis1_C	8726.04033754	3085.42870558	3083.28847667	9109.82656686	8459.87550701	8459.87550701	8459.87550701	8459.87550701	8459.87550701	8459.87550701	8459.87550701	8459.87550701	8459.87550701	8459.87550701	9286.56377989	9286.56377989	9286.56377989	9286.56377989	9286.56377989	9286.56377989	9286.56377989	9449.05546297	9449.05546297	9449.05546297	9449.05546297	9449.05546297	9449.05546297	9279.59857308	9279.59857308	9279.59857308	9279.59857308	9279.59857308	9279.59857308	9272.54278129	9272.54278129	9272.54278129	9272.54278129	9272.54278129	9272.54278129	9272.54278129	9469.85783771	0	9.49651002884e-05	4038.08940013	735.089483788	735.638854308	723.843507098	728.211416314	735.089483788	735.638854308	723.843507098	728.211416314	11574.3241659	11282.4945822	8772.90190076	9252.73043151	9194.25236766	9431.47318748	9421.62468002	9421.7442123	9327.65155098	9437.01212186	9260.36264442	9368.23922047	9431.47318748	9252.73043151	9327.65155098	9263.22676813	9459.84317211	9459.84317211	9463.55490087	9459.84317211	9459.84317211	9459.84317211	9462.24760776	9459.84317211	9459.84317211	9463.55490087	3948.1607947	3964.43759344	11836.0876901	11786.8380003	11822.9950028	11803.7244015	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9866.85978774	9004.91170693	9004.91170693	9004.91170693	9004.91170693	9004.91170693	9004.91170693	8062.1374522	9355.39890011	9355.39890011	9591.31964988	9948.74987157	8800.26090665	8800.26090665	8800.26090665	8779.37781653	6100.31280772	6100.31280772	12705.3137621
