#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	note	address	altitude	contact	university	sample_date	sex	yearmonth	method	sample	bin_id	sample_processing	Description	site	source
Warszawa|20160303|Poland|3	Decewicz Dziewit Primer C Warsaw 20160303	20160303	52.351351,20.959269	C	52.351351	20.959269				Poland	Warszawa		Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw										
Pinkenba|20170822|Australia|1	Barr Monash Sample8 PrimerC 20170822	20170822	-27.3755791,153.1491078	C	-27.3755791	153.1491078	8	Luggage Point WWTP, Queensland, Australia	WWTP	Australia	Pinkenba															
Shanghai|20160320|China|12	Quan Clone 12 PrimerC 20160320	20160320	31.34,121.51	C	31.34	121.51	12	Shanghai, China	WWTP	China	Shanghai				Zhe-Xue Quan	Fundan University										
Oslo|20050630|Norway|1	Cinek.Norway.amplicons.T6376_C_partial	20050630	59.9138688,10.7522454	C	59.9138688	10.7522454				Norway	Oslo						20050630		200506	Sanger						
Carlsbad|20150601|USA|1	Carlsbad Primer A Site 3 20150601	20150601	33.116202,-117.321597	C	33.116202	-117.321597				USA	Carlsbad		Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University			201506						3	
Khartoum|20160305|Sudan|1	Cinek primer C sample 296 20170421	20170421	15.5007,32.5599	C	15.5007	32.5599	296			Sudan	Khartoum				Ondrej Cinek	Univerzita Karlova	20160305									
Amman|20170421|Jordan|2	Cinek primer C sample 223 20170421	20170421	31.9454,35.9284	C	31.9454	35.9284	223			Jordan	Amman				Ondrej Cinek	Univerzita Karlova										
Baki|20170421|Azerbaijan|1	Cinek primer C sample 362 20170421	20170421	40.4093,49.8671	C	40.4093	49.8671	362			Azerbaijan	Baki				Ondrej Cinek	Univerzita Karlova										
Aliso_Viejo|20170403|USA|1	BibbyS4_20170403	20170403	33.552967,-117.7218447	C	33.552967	-117.7218447				USA	Aliso Viejo		Coastal Treatment Plant, 28303 Alicia Pkwy, Laguna Niguel, CA 92677													
North_Kurdufan|00000000|Sudan|3	Cinek lab sample 291 C unknown	unknown	12.862807,30.217636	C	12.862807	30.217636				Sudan	North Kurdufan	Assembly of 3 reads: 291_C_f.ab1, 291_C_r.ab1 (reversed), 291_C_intF.ab1			Ondrej Cinek	Univerzita Karlova										
Shanghai|20160320|China|6	Quan Clone 6 PrimerC 20160320	20160320	31.34,121.51	C	31.34	121.51	6	Shanghai, China	WWTP	China	Shanghai				Zhe-Xue Quan	Fundan University										
Shanghai|20160320|China|14	Quan Clone 14 PrimerC 20160320	20160320	31.34,121.51	C	31.34	121.51	14	Shanghai, China	WWTP	China	Shanghai				Zhe-Xue Quan	Fundan University										
Shanghai|20160320|China|5	Quan Clone 5 PrimerC 20160320	20160320	31.34,121.51	C	31.34	121.51	5	Shanghai, China	WWTP	China	Shanghai				Zhe-Xue Quan	Fundan University										
Abuja|20170421|Nigeria|2	Cinek primer C sample 195 20170421	20170421	9.0765,7.3986	C	9.0765	7.3986	195			Nigeria	Abuja				Ondrej Cinek	Univerzita Karlova										
Lodz|20160126|Poland|1	Decewicz Dziewit Primer C Lodz 20160126	20160126	51.727940,19.347618	C	51.727940	19.347618				Poland	Lodz		Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland		Lukasz Dziewit	University of Warsaw										
Warszawa|20160126|Poland|1	Decewicz Dziewit Primer C Warsaw 20160126	20160126	52.351351,20.959269	C	52.351351	20.959269				Poland	Warszawa		Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw										
Lisboa|20160225|Portugal|4	Santos PrimerC30	20160225	38.7348396,-9.1863262	C	38.7348396	-9.1863262				Portugal	Lisboa		Instituto Superior Tecnico, Laboratorio de Analises, Av. Rovisco Pais, 1049-001 Lisboa		Ricardo Santos	Instituto Superior Tecnico										
Encinitas|20160301|USA|3	Cardiff Primer C2 Site 2 20160301	20160301	33.016467,-117.273686	C	33.016467	-117.273686				USA	Encinitas		San Elijo Joint Powers Authority, 2695 Manchester Avenue, Cardiff by the Sea, California 920077077		Rob Edwards	San Diego State University			201603						2	
Oslo|20060201|Norway|2	Cinek.Norway.amplicons.T9743_C	20060201	59.9138688,10.7522454	C	59.9138688	10.7522454				Norway	Oslo						20060201		200602	Sanger						
Gava|20151001|Spain|1	Muniesa E1 Gava primer C Raw Sewage	20151001	41.3037013,1.9858569	C	41.3037013	1.9858569				Spain	Gava				Maite Muniesa	Universitat de Barcelona										Raw sewage
Prague|20151201|Czech_Republic|1	Cinek primerC sample 23 20151201	20151201	50.0751514,14.3406075	C	50.0751514	14.3406075	326	Brno - Modrice	pre-sewage treatment plant	Czech_Republic	Prague				Ondrej Cinek	Univerzita Karlova										
Mascot|20170816|Australia|1	Barr Monash Sample6 PrimerC 20170816	20170816	-33.9399228,151.1730824	C	-33.9399228	151.1730824	6	New South Wales, Australia	Raw Sewage	Australia	Mascot															
Rybienko_Stare|20160303|Poland|1	Decewicz Dziewit Primer C Wyszkow 20160303	20160303	52.577948,21.429024	C	52.577948	21.429024				Poland	Rybienko Stare		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw										
Jericho|20151202|Israel|1	Qimron lab primer C 20151202	20151202	31.85,35.45	C	31.85	35.45				Israel	Jericho	Collected in Jericho			Udi Qimron	Tel Aviv University										
Zerdab|20071016|Azerbaijan|1	Cinek lab sample 343 C 20071016	20071016	40.143105,47.576927	C	40.143105	47.576927				Azerbaijan	Zerdab	Assembly of 4 reads: 343_C_intF.ab1 (reversed), 343_C_r.ab1, 343_C_f.ab1 (reversed), 343_C_intR.ab1			Ondrej Cinek	Univerzita Karlova		f								
Zerdab|20050203|Azerbaijan|1	Cinek lab sample 356 C 20050203	20050203	40.143105,47.576927	C	40.143105	47.576927				Azerbaijan	Zerdab	Assembly of 4 reads: 356_C_intR.ab1 (reversed), 356_C_f.ab1, 356_C_r.ab1 (reversed), 356_C_intF.ab1			Ondrej Cinek	Univerzita Karlova		f								
Escondido|20160901|USA|1	Escondido Primer C Site 1 20160901	20160901	33.105788,-117.114064	C	33.105788	-117.114064				USA	Escondido		Water Quality Testing, 1521 S. Hale Avenue Escondido, CA 92029, USA		Rob Edwards	San Diego State University			201609						1	
Barcelona|20150501|Spain|1	Muniesa E32 Girona primer C Raw Sewage	20150501	41.3942867,2.1701905	C	41.3942867	2.1701905				Spain	Barcelona				Maite Muniesa	Universitat de Barcelona										Raw Sewage
Modfice|20151201|Czech_Republic|1	Cinek primerC sample 22 20151201	20151201	49.1278897,16.6144122	C	49.1278897	16.6144122	265	Praha	pre-sewage treatment plant	Czech_Republic	Modfice				Ondrej Cinek	Univerzita Karlova										
Dana_Point|20170403|USA|1	BibbyS5_20170403	20170403	33.4669069,-117.6872511	C	33.4669069	-117.6872511				USA	Dana Point		J. B. Latham Plant, 34156 Del Obispo, Dana Pt., CA 92629													
Lodz|20160126|Poland|2	Decewicz Dziewit Primer C Lodz 20160126	20160126	51.727940,19.347618	C	51.727940	19.347618				Poland	Lodz		Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland		Lukasz Dziewit	University of Warsaw										
Lodz|20160303|Poland|2	Decewicz Dziewit Primer C Lodz 20160303	20160303	51.727940,19.347618	C	51.727940	19.347618				Poland	Lodz		Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland		Lukasz Dziewit	University of Warsaw										
Lisboa|20160225|Portugal|5	Santos PrimerC32	20160225	38.7348396,-9.1863262	C	38.7348396	-9.1863262				Portugal	Lisboa		Instituto Superior Tecnico, Laboratorio de Analises, Av. Rovisco Pais, 1049-001 Lisboa		Ricardo Santos	Instituto Superior Tecnico										
