Run ID	Country	Date	Lat Lon
ERR748208	Germany	2011/2014	
SRR3737026	USA	2012-10-05	40.829 N 96.667 W
ERR479556	Germany	2011/2013	
SRR1535303	China	2011	22.55 N 113.24 E
ERR209176	Denmark	2008-2010	
SRR545726	Canada	2004	53.520710 -113.524239
SRR1624824	USA	2012-04-11	38.984652 N 77.094709 W
ERR480913	France	2004/2006	
ERR210108	Denmark	2008-2010	
SRR3067150	USA	29-Nov-2013	not collected
ERR479156	France	2004/2006	
ERR526011	Denmark	2008/2010	
SRR2566034	Canada	2010-02-24	45.50 N 73.63 W
ERR1190742	China	2014	
ERR748150	Germany	2011/2014	
SRR1427728	Luxembourg	2010-10-04	49.5134139 N 0.006.0179250 E
ERR748178	Germany	2011/2014	
ERR318704	USA	01/05/2006	
SRR3992964	China	Oct-2010	43.95 N 116.21 E
SRR2940974	USA	2013-01-14	Not applicable
ERR748163	Germany	2011/2014	
ERR527106	China	2011	
ERR479230	France	2004/2006	
ERR1190665	China	2014	
SRR4236664	USA	2014-12-10	41.5300 N 90.4300 W
ERR480566	France	2004/2006	
ERR480612	France	2004/2006	
ERR748464	Germany	2011/2014	
ERR209150	Denmark	2008-2010	
ERR210117	Denmark	2008-2010	
SRR4236649	USA	2014-11-24	39.8400 N 89.0000 W
ERR414256	Denmark	2008/2010	
ERR478968	France	2004/2006	
ERR210345	Denmark	2008-2010	
ERR210465	Spain	2008-2010	
ERR321434	Denmark	2008-2010	
SRR3182130	USA	2014-01-24	38.984652 N 77.094709 W
ERR480748	France	2004/2006	
ERR479305	France	2004/2006	
SRR1616987	Germany	15-Nov-2012	48 N 8 E
ERR527056	China	2011	
ERR479191	France	2004/2006	
SRR2566052	Canada	2010-03-15	45.50 N 73.63 W
ERR480766	France	2004/2006	
ERR321318	Denmark	2008-2010	
ERR321321	Denmark	2008-2010	
ERR1190645	China	2014	
ERR414388	Spain	2008/2010	
ERR209495	Denmark	2008-2010	
ERR479498	Germany	2011/2013	
SRR1145888	China	2013-1-7	31.3N 121.5E
ERR209690	Spain	2008-2010	
ERR209511	Denmark	2008-2010	
ERR321630	Denmark	2008-2010	
ERR479227	France	2004/2006	
ERR414519	Denmark	2008/2010	
SRR3313074	Luxembourg	2012-09-20	49.5 N 6.2 E
SRR3182133	USA	2014-01-24	38.984652 N 77.094709 W
SRR2298544	Finland	1999-06-09	
SRR2097329	Spain	25-Nov-2014	42.025312 N 2.831897 E
SRR3182006	USA	2013-12-18	38.984652 N 77.094709 W
SRR2938311	Peru	21-May-2012	
ERR210312	Denmark	2008-2010	
ERR480988	Germany	2011/2013	
SRR3313069	Luxembourg	2012-09-20	49.5 N 6.2 E
ERR209979	Denmark	2008-2010	
ERR321085	Denmark	2008-2010	
SRR2566033	Canada	2010-03-01	45.50 N 73.63 W
SRR4032583	USA	2013	29.77152983140312 N 95.22124444140627 W
ERR209185	Denmark	2008-2010	
SRR545724	Canada	2004	53.520710 -113.524239
ERR321199	Denmark	2008-2010	
SRR2583972	Canada	2010-07-15	45.50 N 73.63 W
ERR210152	Denmark	2008-2010	
ERR589820	China	2012	
ERR318690	USA	01/05/2006	
SRR2565986	Canada	2010-01-07	45.50 N 73.63 W
SRR3184339	USA	2014-01-28	38.984652 N 77.094709 W
SRR2857686	USA	2011	42.3601 N 71.0589 W
ERR414778	Spain	2008/2010	
ERR414657	Spain	2008/2010	
SRR3184936	USA	2014-04-14	38.984652 N 77.094709 W
ERR748477	Germany	2011/2014	
SRR4032563	USA	2013	29.77152983140312 N 95.22124444140627 W
ERR525819	Denmark	2008/2010	
ERR527071	China	2011	
ERR525891	Denmark	2008/2010	
ERR209613	Spain	2008-2010	
ERR748107	Germany	2011/2014	
SRR2566028	Canada	2010-02-22	45.50 N 73.63 W
SRR4074296	Italy	2013	
ERR321198	Denmark	2008-2010	
ERR209568	Spain	2008-2010	
