#Sequence ID	name	volunteer	sampletype	primer	sampleid	latlon	latitude	longitude	locality	country	note	date
San_Diego|20170601|USA|1	VolunteerD_20170601	D	Weekly	B	WD1	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170601
San_Diego|20170608|USA|1	VolunteerD_20170608	D	Weekly	B	WD2	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170608
San_Diego|20170421|USA|1	VolunteerD_20170421	D	Pre	B	D1	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170421
San_Diego|20170622|USA|1	VolunteerD_20170622	D	Daily	B	DD3	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, single read	20170622
San_Diego|20170629|USA|1	VolunteerD_20170629	D	Daily	B	DD5	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170629
San_Diego|20170421|USA|2	VolunteerE_20170421	E	Pre	B	E1	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170421
San_Diego|20170601|USA|2	VolunteerE_20170601	E	Weekly	B	WE2	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170601
San_Diego|20170522|USA|1	VolunteerE_20170522	E	Weekly	B	WE1	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger	20170522
