#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	note	address	altitude	contact	university	sample_date	sex	yearmonth	method	sample	bin_id	sample_processing	Description	site	source
Gava|20131101|Spain|1	Muniesa E4 Gava primer B Raw Sewage	20131101	41.3037013,1.9858569	B	41.3037013	1.9858569				Spain	Gava				Maite Muniesa	Universitat de Barcelona										Raw Sewage
Lisboa|20160225|Portugal|1	Santos Primer B13	20160225	38.7348396,-9.1863262	B	38.7348396	-9.1863262				Portugal	Lisboa		Instituto Superior Tecnico, Laboratorio de Analises, Av. Rovisco Pais, 1049-001 Lisboa		Ricardo Santos	Instituto Superior Tecnico										
Rybienko_Stare|20160303|Poland|1	Decewicz Dziewit Primer B Wyszkow 20160303	20160303	52.577948,21.429024	B	52.577948	21.429024				Poland	Rybienko Stare		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw										
Pilsen|20151201|Czech_Republic|1	Cinek primer B sample 6 20151201	20151201	49.7477831,13.3783489	B	49.7477831	13.3783489	414	Ostrava	pre-sewage treatment plant	Czech_Republic	Pilsen				Ondrej Cinek	Univerzita Karlova										
Oslo|20060131|Norway|1	Cinek.Norway.amplicons.T9717_B	20060131	59.9138688,10.7522454	B	59.9138688	10.7522454				Norway	Oslo						20060131		200601	Sanger						
Ralsko|20151201|Czech_Republic|1	Cinek primer B sample 16 20151201	20151201	50.5583072,14.8217867	B	50.5583072	14.8217867	275	Zastavka u Brna	post-STP, refugee camp	Czech_Republic	Ralsko				Ondrej Cinek	Univerzita Karlova										
Carlsbad|20160601|USA|1	Carlsbad Primer B Site 3 20160601	20160601	33.116202,-117.321597	B	33.116202	-117.321597				USA	Carlsbad		Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University			201606						3	
Carlsbad|20160901|USA|2	Carlsbad Primer A Site 3 20160901	20160901	33.116202,-117.321597	B	33.116202	-117.321597				USA	Carlsbad		Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University			201609						3	
Lodz|20160303|Poland|2	Decewicz Dziewit Primer B Lodz 20160303	20160303	51.727940,19.347618	B	51.727940	19.347618				Poland	Lodz		Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland		Lukasz Dziewit	University of Warsaw										
Oslo|20070729|Norway|2	Cinek.Norway.metagenome.17467.6		59.9138688,10.7522454	B	59.9138688	10.7522454				Norway	Oslo						20070729	F	200707	metagenome	17467	183	filtering + pelleting + enzymes			
AlJafr|20020904|Jordan|1	Cinek lab sample 240 B 20020904	20020904	30.585164,36.238414	B	30.585164	36.238414				Jordan	Al-Jafr	Assembly of 4 reads: 240_B_intr.ab1 (reversed), 240_B_f.ab1, 240_B_r.ab1 (reversed), 240_B_intf.ab1			Ondrej Cinek	Univerzita Karlova		f								
Ostrava|20151201|Czech_Republic|1	Cinek primer B sample 5 20151201	20151201	49.8346453,18.2820442	B	49.8346453	18.2820442	479	Ceske Budejovice	pre-sewage treatment plant	Czech_Republic	Ostrava				Ondrej Cinek	Univerzita Karlova										
Gava|20151001|Spain|2	Muniesa E2 Gava primer B Raw Sewage	20151001	41.3037013,1.9858569	B	41.3037013	1.9858569				Spain	Gava				Maite Muniesa	Universitat de Barcelona										Raw sewage
Warszawa|20160126|Poland|1	Decewicz Dziewit Primer B Warsaw 20160126	20160126	52.351351,20.959269	B	52.351351	20.959269				Poland	Warszawa		Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw										
Amman|20170421|Jordan|1	Cinek primer B sample 221 20170421	20170421	31.9454,35.9284	B	31.9454	35.9284	221			Jordan	Amman				Ondrej Cinek	Univerzita Karlova										
Oslo|20060201|Norway|2	Cinek.Norway.amplicons.T9743_B	20060201	59.9138688,10.7522454	B	59.9138688	10.7522454				Norway	Oslo						20060201		200602	Sanger						
Rybienko_Stare|20160303|Poland|3	Decewicz Dziewit Primer B Wyszkow 20160303	20160303	52.577948,21.429024	B	52.577948	21.429024				Poland	Rybienko Stare		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw										
Carlsbad|20160915|USA|1	Carlsbad Primer A Site 3 20160915	20160915	33.116202,-117.321597	B	33.116202	-117.321597				USA	Carlsbad		Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University			201609						3	
Oswiecim|20160303|Poland|2	Decewicz Dziewit Primer B 20160303	20160303	50.038062,19.321854	B	50.038062	19.321854				Poland	Oswiecim		Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32-642 Oswiecim, Poland		Lukasz Dziewit	University of Warsaw										
Rybienko_Stare|20160303|Poland|2	Decewicz Dziewit Primer B Wyszkow 20160303	20160303	52.577948,21.429024	B	52.577948	21.429024				Poland	Rybienko Stare		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw										
San_Marcos|20160101|USA|1	San_Marcos Primer B Site 4 20160101	20160101	33.144526,-117.178849	B	33.144526	-117.178849				USA	San Marcos		Vallecitos Water District, 201 Vallecitos De Oro, San Marcos, CA 92069		Rob Edwards	San Diego State University			201601						4	
Carlsbad|20151209|USA|1	Edwards Primer B Site 3 20151209	20151209	33.116202,-117.321597	B	33.116202	-117.321597				USA	Carlsbad		Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University										
San_Miguel_de_Tucuman|20160414|Argentina|4	Raul Raya Primer B	20160414	-26.832,-65.207	B	-26.832	-65.207				Argentina	San Miguel de Tucuman		San Miguel de Tucuman, Tucuman, Argentina		Raul Raya	Cerela					10					
Prague|20151201|Czech_Republic|1	Cinek primer B sample 9 20151201	20151201	50.0835494,14.4341414	B	50.0835494	14.4341414	298	Usti n. Labem	pre-sewage treatment plant	Czech_Republic	Prague				Ondrej Cinek	Univerzita Karlova										
Carlsbad|20160725|USA|1	Carlsbad Primer A Site 3 20160725	20160725	33.116202,-117.321597	B	33.116202	-117.321597				USA	Carlsbad		Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University			201607						3	
Oswiecim|20160126|Poland|2	Decewicz Dziewit Primer B Oswiecim 20160126	20160126	50.038062,19.321854	B	50.038062	19.321854				Poland	Oswiecim		Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32-642 Oswiecim, Poland		Lukasz Dziewit	University of Warsaw										
Khartoum|20160305|Sudan|1	Cinek primer B sample 296 20170421	20170421	15.5007,32.5599	B	15.5007	32.5599	296			Sudan	Khartoum				Ondrej Cinek	Univerzita Karlova	20160305									
Escondido|20160601|USA|1	Escondido Primer B Site 1 20160601	20160601	33.105788,-117.114064	B	33.105788	-117.114064				USA	Escondido		Water Quality Testing, 1521 S. Hale Avenue Escondido, CA 92029, USA		Rob Edwards	San Diego State University			201606						1	
