SRR ID	A_read_depth	A_strains	B_read_depth	B_strains	C_read_depth	C_strains
SRR061122	2.45796	0	2.00221	0	3.52542	0
SRR1214586	2.45796	0	2.34834	0	2.28006	0
SRR1765558	2.46021	0	3.56753	0	1.29621	0
ERR719644	2.46171	0	1.92472	0	4.21227	0
SRR1490886	2.46622	0	2.51439	0	1.97821	0
ERR1137223	2.47147	0	3.3786	0	1.35028	0
ERR527008	2.47748	0	2.6679	0	2.37692	0
SRR1918915	2.48498	0	5.01255	0	4.02098	0
SRR1449677	2.48874	0	2.63911	0	1.81679	0
ERR1525442	2.48949	0	1.68413	0	4.69492	0
ERR527149	2.49324	0	1.44649	0	3.58354	0
SRR1215969	2.49399	0	2.29594	1	1.69572	0
ERR1293839	2.50526	0	2.30996	2	3.42534	0
ERR209781	2.50751	0	2.13432	0	3.85069	0
SRR1765504	2.50976	0	3.32768	0	2.19613	0
ERR209242	2.51351	0	2.01697	0	2.63358	0
ERR719430	2.52027	0	2.85018	0	3.80791	0
ERR719642	2.52102	0	1.61697	0	1.6473	2
ERR1137773	2.53303	0	2.30923	0	3.10573	0
SRR3713839	2.53529	0	2.8	0	3.18241	0
ERR209124	2.53679	0	1.67232	0	1.99677	0
ERR1297441	2.54129	0	2.23911	0	1.93624	0
ERR321249	2.55405	0	2.06642	0	2.98951	0
ERR719428	2.5548	0	2.31439	0	3.50847	0
SRR1215857	2.55556	1	1.92399	0	1.94592	0
ERR1305878	2.55781	0	2.03321	0	3.40274	0
ERR1293900	2.55856	0	2.79557	0	3.60775	0
ERR528334	2.55931	0	1.86494	0	1.95561	0
ERR532377	2.55931	0	1.86494	0	1.95561	0
ERR260134	2.56306	0	2.77417	0	2.11542	0
ERR1190694	2.57207	0	2.32915	0	1.23487	0
ERR719651	2.57583	0	1.18155	2	4.16949	0
SRR1765566	2.57583	0	3.7262	0	1.96691	0
ERR481088	2.58108	0	0.960148	0	4.19128	0
ERR748467	2.58108	0	0.960148	0	4.19128	0
SRR1765182	2.58183	0	2.57343	0	2.33979	0
ERR1110294	2.58258	0	3.35424	0	2.47377	0
ERR209571	2.58859	0	3.62509	0	2.87006	0
SRR1215674	2.58859	0	3.16974	1	2.58999	0
SRR1492167	2.58859	0	2.63764	0	1.93462	0
SRR341658	2.58934	0	1.369	0	2.62712	0
ERR878277	2.58934	0	1.69668	0	3.01695	0
ERR479526	2.59985	0	0.908487	2	4.23083	0
SRR3501856	2.60135	0	2.65314	0	1.5117	2
SRR1765381	2.6036	0	2.98598	0	1.19774	0
SRR3182133	2.60435	0	3.19926	0	2.5795	0
SRR3501862	2.60511	0	2.19262	0	2.37772	0
ERR480815	2.62012	0	2.42509	0	2.84504	0
ERR321576	2.62913	0	1.66052	0	1.81033	0
SRR1462642	2.6494	0	1.98229	0	0.836965	0
SRR4305529	2.6509	0	1.34465	2	1.7837	0
SRR1462560	2.65916	0	2.63764	0	1.34786	0
ERR479251	2.66141	0	3.87159	0	2.16142	0
ERR011156	2.66967	0	1.76827	0	2.05327	0
ERR321131	2.66967	0	1.76827	0	2.05327	0
ERR719435	2.67643	0	2.28413	0	4.26877	0
ERR209193	2.67943	0	1.71218	0	1.42534	0
ERR719643	2.68318	0	2.1048	0	2.83374	0
SRR1491185	2.68619	0	1.78376	0	1.36723	2
SRR1437790	2.68844	0	2.71956	0	1.55448	3
ERR1305912	2.68994	0	3	0	2.85956	0
