#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	address	altitude	contact	university	sample_date	sex	note	yearmonth	method	sample	bin_id	sample_processing	Description	site	source
Vysni_Lhoty|20151201|Czech_Republic|1	Cinek primer A sample 10 20151201	20151201	49.6358083,18.4569128	A	49.6358083	18.4569128	404	Praha	pre-sewage treatment plant	Czech_Republic	Vysni Lhoty			Ondrej Cinek	Univerzita Karlova											
Khartoum|20160302|Sudan|1	Cinek primer A sample 267 20170421	20170421	15.5007,32.5599	A	15.5007	32.5599	267			Sudan	Khartoum			Ondrej Cinek	Univerzita Karlova	20160302										
Carlsbad|20160915|USA|1	Carlsbad Primer A Site 3 20160301	20160915	33.116202,-117.321597	A	33.116202	-117.321597				USA	Carlsbad	Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University				201609						3	
Gatchinskiy_rayon|20160301|Russia|1	Tyakht Spb_73_13P_A primer A	20160301	59.57,30.18	A	59.57	30.18				Russia	Gatchinskiy rayon	Saint-Petersburg, Russia		Alexander Tyakht	Federal Research and Clinical Center of Physical-Chemical Medicine											
Khartoum|20160210|Sudan|1	Cinek primer A sample 300 20170421	20170421	15.5007,32.5599	A	15.5007	32.5599	300			Sudan	Khartoum			Ondrej Cinek	Univerzita Karlova	20160210										
Lodz|20160303|Poland|1	Decewicz Dziewit Primer A Lodz 20160303	20160303	51.727940,19.347618	A	51.727940	19.347618				Poland	Lodz	Group Wastewater Treatment Plant, Sanitariuszek 66, 91867 Lodz, Poland		Lukasz Dziewit	University of Warsaw											
Pilsen|20151201|Czech_Republic|1	Cinek primer A sample 6 20151201	20151201	49.7477831,13.3783489	A	49.7477831	13.3783489	414	Ostrava	pre-sewage treatment plant	Czech_Republic	Pilsen			Ondrej Cinek	Univerzita Karlova											
Bogota|20160412|Colombia|1	Maria Reyes Primer A 20160412	20160412	4.6500014,-74.0589398	A	4.6500014	-74.0589398				Colombia	Bogota	CorpoGen, Cra. 5 #66A34, Bogota, Colombia 		Alejandro Reyes	Universidad de los Andes						1					
Rybienko_Stare|20160126|Poland|1	Decewicz Dziewit Primer A Wyszkow 20160126	20160126	52.577948,21.429024	A	52.577948	21.429024				Poland	Rybienko Stare	Municipal Wastewater Treatment Plant, Rybienko Stare, 07200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw											
AlJafr|20020904|Jordan|1	Cinek lab sample 240 A 20020904	20020904	30.585164,36.238414	A	30.585164	36.238414				Jordan	Al-Jafr			Ondrej Cinek	Univerzita Karlova		f	Assembly of 4 reads: 240_A_intf.ab1 (reversed), 240_A_r.ab1, 240_A_intr.ab1, 240_A_f.ab1 (reversed)								
